Identifier,ST,Pool,Quarter,Year,Period,Units,Scripts,Total Amount,Market Share,PDL Status
1,CA,Independent,2,2019,20192.00,73,71,42992,0.52688172,0
0,CA,Independent,2,2019,20192.00,132,131,70415.09,0.52688172,0
0,CA,Independent,2,2019,20192.00,553,500,283781.66,0.52688172,0
1,CA,Independent,2,2019,20192.00,195,180,112483.65,0.52688172,0
1,CA,Independent,2,2019,20192.00,210,137,80609.76,0.219832736,0
0,CA,Independent,2,2019,20192.00,359.5,231,139056.82,0.219832736,0
0,CA,Independent,2,2019,20192.00,0,0,0,0.253285544,0
1,CA,Independent,2,2019,20192.00,107,90,63006.95,0.253285544,0
0,CA,Independent,2,2019,20192.00,372,311,163531.6,0.253285544,0
1,CA,Independent,2,2019,20192.00,0,0,0,0.253285544,0
0,CA,Independent,2,2019,20192.00,26,23,15554.48,0.253285544,0
1,CA,Independent,2,2019,20192.00,0,0,0,0.253285544,0
1,CO,Independent,2,2019,20192.00,173,157,101224,0.406794425,0
0,CO,Independent,2,2019,20192.00,0,0,0,0.406794425,0
0,CO,Independent,2,2019,20192.00,0,0,0,0.406794425,0
1,CO,Independent,2,2019,20192.00,405,310,228245.53,0.406794425,0
0,CO,Independent,2,2019,20192.00,51,34,19404.73,0.193379791,0
1,CO,Independent,2,2019,20192.00,295.5,188,112210.06,0.193379791,0
1,CO,Independent,2,2019,20192.00,481,379,272055.87,0.399825784,0
0,CO,Independent,2,2019,20192.00,36,34,20560.86,0.399825784,0
1,CO,Independent,2,2019,20192.00,64,46,37280.45,0.399825784,0
0,DC,NMPI,2,2019,20192.00,14,14,7983.45,1,0
0,DC,NMPI,2,2019,20192.00,0,0,0,1,0
1,DC,NMPI,2,2019,20192.00,0,0,0,1,0
1,DC,NMPI,2,2019,20192.00,0,0,0,0,0
0,DC,NMPI,2,2019,20192.00,0,0,0,0,0
0,DC,NMPI,2,2019,20192.00,0,0,0,0,0
0,DE,SSDC,2,2019,20192.00,18,18,583.1,0.598958333,0
1,DE,SSDC,2,2019,20192.00,0,0,0,0.598958333,0
0,DE,SSDC,2,2019,20192.00,111,97,1145.39,0.598958333,0
0,DE,SSDC,2,2019,20192.00,67.5,45,0,0.234375,0
0,DE,SSDC,2,2019,20192.00,40,32,0,0.166666667,1
0,DE,SSDC,2,2019,20192.00,0,0,0,0.166666667,1
0,FL,Independent,2,2019,20192.00,75,74,41643.86,0.485629336,0
1,FL,Independent,2,2019,20192.00,0,0,0,0.485629336,0
0,FL,Independent,2,2019,20192.00,487,416,272772.73,0.485629336,0
0,FL,Independent,2,2019,20192.00,135,90,51009.09,0.089197225,0
1,FL,Independent,2,2019,20192.00,0,0,0,0.425173439,0
0,FL,Independent,2,2019,20192.00,0,0,0,0.425173439,0
0,FL,Independent,2,2019,20192.00,439,382,244774.95,0.425173439,0
1,FL,Independent,2,2019,20192.00,27,22,15172.75,0.425173439,0
0,FL,Independent,2,2019,20192.00,28,25,15697.62,0.425173439,0
0,GA,Independent,2,2019,20192.00,34,34,19321.23,0.684210526,0
1,GA,Independent,2,2019,20192.00,0,0,0,0.684210526,0
0,GA,Independent,2,2019,20192.00,103,103,58667.45,0.684210526,0
1,GA,Independent,2,2019,20192.00,149,136,83987.25,0.684210526,0
0,GA,Independent,2,2019,20192.00,96,60,35137.35,0.15037594,0
0,GA,Independent,2,2019,20192.00,66,66,37608.8,0.165413534,0
0,GA,Independent,2,2019,20192.00,0,0,0,0.165413534,0
0,HI,Independent,2,2019,20192.00,0,0,0,0.666666667,0
0,HI,Independent,2,2019,20192.00,101,92,58490.44,0.666666667,0
0,HI,Independent,2,2019,20192.00,73,46,26633.28,0.333333333,0
0,HI,Independent,2,2019,20192.00,0,0,0,0,0
0,IA,SSDC,2,2019,20192.00,67,67,38526.2,0.637837838,0
0,IA,SSDC,2,2019,20192.00,193,169,107866.14,0.637837838,0
1,IA,SSDC,2,2019,20192.00,0,0,0,0.637837838,0
1,IA,SSDC,2,2019,20192.00,0,0,0,0.172972973,0
0,IA,SSDC,2,2019,20192.00,105,64,40251.97,0.172972973,0
0,IA,SSDC,2,2019,20192.00,75,70,42111.55,0.189189189,0
0,IA,SSDC,2,2019,20192.00,0,0,0,0.189189189,0
1,ID,TOP$,2,2019,20192.00,19,19,11153.54,0.314720812,0
1,ID,TOP$,2,2019,20192.00,43,43,25211.67,0.314720812,0
1,ID,TOP$,2,2019,20192.00,136.5,85,53239.59,0.431472081,0
1,ID,TOP$,2,2019,20192.00,60,50,35092.43,0.253807107,0
0,IL,Independent,2,2019,20192.00,33,33,19031.08,0.728070175,1
1,IL,Independent,2,2019,20192.00,0,0,0,0.728070175,1
1,IL,Independent,2,2019,20192.00,24,21,17633.93,0.728070175,1
0,IL,Independent,2,2019,20192.00,298,278,179615.14,0.728070175,1
1,IL,Independent,2,2019,20192.00,0,0,0,0.175438596,0
0,IL,Independent,2,2019,20192.00,120,80,59508.33,0.175438596,0
0,IL,Independent,2,2019,20192.00,52,44,32217.95,0.096491228,1
0,IL,Independent,2,2019,20192.00,0,0,0,0.096491228,1
0,IL,Independent,2,2019,20192.00,0,0,0,0.096491228,1
1,IN,Independent,2,2019,20192.00,0,0,0,0.542813456,0
0,IN,Independent,2,2019,20192.00,266,259,152773.33,0.542813456,0
0,IN,Independent,2,2019,20192.00,848,772,485839.11,0.542813456,0
1,IN,Independent,2,2019,20192.00,40,34,22646.72,0.542813456,0
0,IN,Independent,2,2019,20192.00,439.5,282,168000.75,0.143730887,0
1,IN,Independent,2,2019,20192.00,0,0,0,0.143730887,0
0,IN,Independent,2,2019,20192.00,0,0,0,0.313455657,0
0,IN,Independent,2,2019,20192.00,627,560,357895.09,0.313455657,0
1,IN,Independent,2,2019,20192.00,32,26,17868.96,0.313455657,0
0,IN,Independent,2,2019,20192.00,33,29,18812.02,0.313455657,0
1,IN,Independent,2,2019,20192.00,0,0,0,0.313455657,0
0,KS,Independent,2,2019,20192.00,45,45,26192.07,0.498402556,0
0,KS,Independent,2,2019,20192.00,127,111,72222.52,0.498402556,0
0,KS,Independent,2,2019,20192.00,211.5,139,78384.3,0.444089457,0
0,KS,Independent,2,2019,20192.00,21,18,11847.81,0.057507987,0
1,KY,NMPI,2,2019,20192.00,0,0,0,0.480416157,0
0,KY,NMPI,2,2019,20192.00,152,149,89181.85,0.480416157,0
0,KY,NMPI,2,2019,20192.00,736,636,428909.05,0.480416157,0
1,KY,NMPI,2,2019,20192.00,0,0,0,0.480416157,0
0,KY,NMPI,2,2019,20192.00,633,407,244369.75,0.249082007,0
1,KY,NMPI,2,2019,20192.00,0,0,0,0.249082007,0
1,KY,NMPI,2,2019,20192.00,0,0,0,0.270501836,1
0,KY,NMPI,2,2019,20192.00,449,413,261691.89,0.270501836,1
0,KY,NMPI,2,2019,20192.00,0,0,0,0.270501836,1
0,KY,NMPI,2,2019,20192.00,0,0,0,0.270501836,1
0,KY,NMPI,2,2019,20192.00,32,29,18508.95,0.270501836,1
0,LA,TOP$,2,2019,20192.00,323,320,182470.01,0.617932149,0
1,LA,TOP$,2,2019,20192.00,0,0,0,0.617932149,0
0,LA,TOP$,2,2019,20192.00,486,445,275975.96,0.617932149,0
1,LA,TOP$,2,2019,20192.00,0,0,0,0.617932149,0
0,LA,TOP$,2,2019,20192.00,361.5,234,135408.7,0.18901454,0
0,LA,TOP$,2,2019,20192.00,255,226,145546.86,0.193053312,0
0,LA,TOP$,2,2019,20192.00,15,13,8610.57,0.193053312,0
0,MA,Independent,2,2019,20192.00,38,38,21734.35,0.911231884,0
1,MA,Independent,2,2019,20192.00,12,12,6943.07,0.911231884,0
1,MA,Independent,2,2019,20192.00,251,219,141400.59,0.911231884,0
0,MA,Independent,2,2019,20192.00,257,234,147145.09,0.911231884,0
1,MA,Independent,2,2019,20192.00,0,0,0,0.045289855,0
0,MA,Independent,2,2019,20192.00,37.5,25,14289.46,0.045289855,0
0,MA,Independent,2,2019,20192.00,27,24,15807.95,0.043478261,0
1,MA,Independent,2,2019,20192.00,0,0,0,0.043478261,0
0,MD,TOP$,2,2019,20192.00,43,42,23969.27,0.512544803,0
0,MD,TOP$,2,2019,20192.00,282,244,157938.74,0.512544803,0
1,MD,TOP$,2,2019,20192.00,0,0,0,0.512544803,0
1,MD,TOP$,2,2019,20192.00,0,0,0,0.256272401,0
